Station Name (A-F),CRS Code,Station Name (G-M),CRS Code,Station Name (N-R),CRS Code,Station Name (S-Y),CRS Code
Abbey Wood,ABW,Gainsborough Central,GNB,Nafferton,NFN,Salford Central,SFD
Aber,ABE,Gainsborough Lea Road,GBL,Nailsea & Backwell,NLS,Salford Crescent,SLD
Abercynon,ACY,Galashiels,GAL,Nairn,NRN,Salfords (Surrey),SAF
Aberdare,ABA,Garelochhead,GCH,Nantwich,NAN,Salhouse,SAH
Aberdeen,ABD,Garforth,GRF,Narberth,NAR,Salisbury,SAL
Aberdour,AUR,Gargrave,GGV,Narborough,NBR,Saltaire,SAE
Aberdovey,AVY,Garrowhill,GAR,Navigation Road,NVR,Saltash,STS
Abererch,ABH,Garscadden,GRS,Neath,NTH,Saltburn,SLB
Abergavenny,AGV,Garsdale,GSD,Needham Market,NMT,Saltcoats,SLT
Abergele & Pensarn,AGL,Garston (Hertfordshire),GSN,Neilston,NEI,Saltmarshe,SAM
Aberystwyth,AYW,Garswood,GSW,Nelson,NEL,Salwick,SLW
Accrington,ACR,Gartcosh,GRH,Neston,NES,Sampford Courtenay,SMC
Achanalt,AAT,Garth (Mid Glamorgan),GMG,Netherfield,NET,Sandal & Agbrigg,SNA
Achnasheen,ACN,Garth (Powys),GTH,Nethertown,NRT,Sandbach,SDB
Achnashellach,ACH,Garve,GVE,Netley,NTL,Sanderstead,SNR
Acklington,ACK,Gathurst,GST,New Barnet,NBA,Sandhills,SDL
Acle,ACL,Gatley,GTY,New Beckenham,NBC,Sandhurst (Berks),SND
Acocks Green,ACG,Gatwick Airport,GTW,New Brighton,NBN,Sandling,SDG
Acton Bridge (Cheshire),ACB,Georgemas Junction,GGJ,New Clee,NCE,Sandown,SAN
Acton Central,ACC,Gerrards Cross,GER,New Cross,NWX,Sandplace,SDP
Acton Main Line,AML,Gidea Park,GDP,New Cross Gate,NXG,Sandwell & Dudley,SAD
Adderley Park,ADD,Giffnock,GFN,New Cumnock,NCK,Sandwich,SDW
Addiewell,ADW,Giggleswick,GIG,New Eltham,NEH,Sandy,SDY
Addlestone,ASN,Gilberdyke,GBD,New Holland,NHL,Sankey for Penketh,SNK
Adisham,ADM,Gilfach Fargoed,GFF,New Hythe,NHE,Sanquhar,SQH
Adlington (Cheshire),ADC,Gillingham (Dorset),GIL,New Lane,NLN,Sarn,SRR
Adlington (Lancs),ADL,Gillingham (Kent),GLM,New Malden,NEM,Saundersfoot,SDF
Adwick,AWK,Gilshochill,GSC,New Mills Central,NMC,Saunderton,SDR
Aigburth,AIG,Gipsy Hill,GIP,New Mills Newtown,NMN,Sawbridgeworth,SAW
Ainsdale,ANS,Girvan,GIR,New Milton,NWM,Saxilby,SXY
Aintree,AIN,Glaisdale,GLS,New Pudsey,NPD,Saxmundham,SAX
Airbles,AIR,Glan Conwy,GCW,New Southgate,NSG,Scarborough,SCA
Airdrie,ADR,Glasgow Central,GLC,Newark Castle,NCT,Scotscalder,SCT
Albany Park,AYP,Glasgow Queen Street,GLQ,Newark North Gate,NNG,Scotstounhill,SCH
Albrighton,ALB,Glasshoughton,GLH,Newbridge,NBE,Scunthorpe,SCU
Alderley Edge,ALD,Glazebrook,GLZ,Newbury,NBY,Sea Mills,SML
Aldermaston,AMT,Gleneagles,GLE,Newbury Racecourse,NRC,Seaford (Sussex),SEF
Aldershot,AHT,Glenfinnan,GLF,Newcastle,NCL,Seaforth & Litherland,SFL
Aldrington,AGT,Glengarnock,GLG,Newcourt,NCO,Seaham,SEA
Alexandra Palace,AAP,Glenrothes with Thornton,GLT,Newcraighall,NEW,Seamer,SEM
Alexandra Parade,AXP,Glossop,GLO,Newhaven Harbour,NVH,Seascale,SSC
Alexandria,ALX,Gloucester,GCR,Newhaven Town,NVN,Seaton Carew,SEC
Alfreton,ALF,Glynde,GLY,Newington,NGT,Seer Green & Jordans,SRG
Allens West,ALW,Gobowen,GOB,Newmarket,NMK,Selby,SBY
Alloa,ALO,Godalming,GOD,Newport (Essex),NWE,Selhurst,SRS
Alness,ASS,Godley,GDL,Newport (South Wales),NWP,Sellafield,SEL
Alnmouth,ALM,Godstone,GDN,Newquay,NQY,Selling,SEG
Alresford (Essex),ALR,Goldthorpe,GOE,Newstead,NSD,Selly Oak,SLY
Alsager,ASG,Golf Street,GOF,Newton (Lanark),NTN,Settle,SET
Althorne (Essex),ALN,Golspie,GOL,Newton Abbot,NTA,Seven Kings,SVK
Althorpe,ALP,Gomshall,GOM,Newton Aycliffe,NAY,Seven Sisters,SVS
Altnabreac,ABC,Goodmayes,GMY,Newton for Hyde,NWN,Sevenoaks,SEV
Alton,AON,Goole,GOO,Newton St Cyres,NTC,Severn Beach,SVB
Altrincham,ALT,Goostrey,GTR,Newtongrange,NEG,Severn Tunnel Junction,STJ
Alvechurch,ALV,Gordon Hill,GDH,Newton-le-Willows,NLW,Shadwell,SDE
Ambergate,AMB,Gorebridge,GBG,Newtonmore,NWR,Shalford (Surrey),SFR
Amberley,AMY,Goring & Streatley,GOR,Newton-on-Ayr,NOA,Shanklin,SHN
Amersham,AMR,Goring-by-Sea,GBS,Newtown (Powys),NWT,Shawfair,SFI
Ammanford,AMF,Gorton,GTO,Ninian Park,NNP,Shawford,SHW
Ancaster,ANC,Gospel Oak,GPO,Nitshill,NIT,Shawlands,SHL
Anderston,AND,Gourock,GRK,Norbiton,NBT,Sheerness-on-Sea,SSS
Andover,ADV,Gowerton,GWN,Norbury,NRB,Sheffield,SHF
Anerley,ANZ,Goxhill,GOX,Normans Bay,NSB,Shelford (Cambs),SED
Angmering,ANG,Grange Park,GPK,Normanton,NOR,Shenfield,SNF
Annan,ANN,Grange-Over-Sands,GOS,North Berwick,NBW,Shenstone,SEN
Anniesland,ANL,Grangetown (Cardiff),GTN,North Camp,NCM,Shepherd's Bush,SPB
Ansdell & Fairhaven,AFV,Grantham,GRA,North Dulwich,NDL,Shepherds Well,SPH
Apperley Bridge,APY,Grateley,GRT,North Fambridge,NFA,Shepley,SPY
Appleby,APP,Gravelly Hill,GVH,North Llanrwst,NLR,Shepperton,SHP
Appledore (Kent),APD,Gravesend,GRV,North Queensferry,NQU,Shepreth,STH
Appleford,APF,Grays,GRY,North Road (Darlington),NRD,Sherborne,SHE
Appley Bridge,APB,Great Ayton,GTA,North Sheen,NSH,Sherburn-in-Elmet,SIE
Apsley,APS,Great Bentley,GRB,North Walsham,NWA,Sheringham,SHM
Arbroath,ARB,Great Chesterford,GRC,North Wembley,NWB,Shettleston,SLS
Ardgay,ARD,Great Coates,GCT,Northallerton,NTR,Shieldmuir,SDM
Ardlui,AUI,Great Malvern,GMV,Northampton,NMP,Shifnal,SFN
Ardrossan Harbour,ADS,Great Missenden,GMN,Northfield,NFD,Shildon,SHD
Ardrossan South Beach,ASB,Great Yarmouth,GYM,Northfleet,NFL,Shiplake,SHI
Ardrossan Town,ADN,Green Lane,GNL,Northolt Park,NLT,Shipley (Yorks),SHY
Ardwick,ADK,Green Road,GNR,Northumberland Park,NUM,Shippea Hill,SPP
Argyle Street,AGS,Greenbank,GBK,Northwich,NWI,Shipton,SIP
Arisaig,ARG,Greenfaulds,GRL,Norwich,NRW,Shirebrook,SHB
Arlesey,ARL,Greenfield,GNF,Norwood Junction,NWD,Shirehampton,SHH
Armadale (West Lothian),ARM,Greenford,GFD,Nottingham,NOT,Shireoaks,SRO
Armathwaite,AWT,Greenhithe,GNH,Nuneaton,NUN,Shirley,SRL
Arnside,ARN,Greenock Central,GKC,Nunhead,NHD,Shoeburyness,SRY
Arram,ARR,Greenock West,GKW,Nunthorpe,NNT,Sholing,SHO
Arrochar & Tarbet,ART,Greenwich,GNW,Nutbourne,NUT,Shoreditch High Street,SDC
Arundel,ARU,Gretna Green,GEA,Nutfield,NUF,Shoreham (Kent),SEH
Ascot (Berks),ACT,Grimsby Docks,GMD,Oakengates,OKN,Shoreham-by-Sea,SSE
Ascott-under-Wychwood,AUW,Grimsby Town,GMB,Oakham,OKM,Shortlands,SRT
Ash,ASH,Grindleford,GRN,Oakleigh Park,OKL,Shotton,SHT
Ash Vale,AHV,Grosmont,GMT,Oban,OBN,Shotts,SHS
Ashburys,ABY,Grove Park,GRP,Ockendon,OCK,Shrewsbury,SHR
Ashchurch for Tewkesbury,ASC,Guide Bridge,GUI,Ockley,OLY,Sidcup,SID
Ashfield,ASF,Guildford,GLD,Okehampton,OKE,Sileby,SIL
Ashford (Surrey),AFS,Guiseley,GSY,Okehampton,OKE,Silecroft,SIC
Ashford International,AFK,Gunnersbury,GUN,Old Hill,OHL,Silkstone Common,SLK
Ashford International (Eurostar),ASI,Gunnislake,GSL,Old Roan,ORN,Silver Street,SLV
Ashley,ASY,Gunton,GNT,Old Street,OLD,Silverdale,SVR
Ashtead,AHD,Gwersyllt,GWE,Oldfield Park,OLF,Singer,SIN
Ashton-under-Lyne,AHN,Gypsy Lane,GYP,Olton,OLT,Sittingbourne,SIT
Ashurst (Kent),AHS,Habrough,HAB,Ore,ORE,Skegness,SKG
Ashurst New Forest,ANF,Hackbridge,HCB,Ormskirk,OMS,Skewen,SKE
Ashwell & Morden,AWM,Hackney Central,HKC,Orpington,ORP,Skipton,SKI
Askam,ASK,Hackney Downs,HAC,Orrell,ORR,Slade Green,SGR
Aslockton,ALK,Hackney Wick,HKW,Orrell Park,OPK,Slaithwaite,SWT
Aspatria,ASP,Haddenham & Thame Parkway,HDM,Otford,OTF,Slateford,SLA
Aspley Guise,APG,Haddiscoe,HAD,Oulton Broad North,OUN,Sleaford,SLR
Aston,AST,Hadfield,HDF,Oulton Broad South,OUS,Sleights,SLH
Atherstone,ATH,Hadley Wood,HDW,Outwood,OUT,Slough,SLO
Atherton,ATN,Hag Fold,HGF,Overpool,OVE,Small Heath,SMA
Attadale,ATT,Haggerston,HGG,Overton,OVR,Smallbrook Junction,SAB
Attenborough,ATB,Hagley,HAG,Oxenholme Lake District,OXN,Smethwick Galton Bridge,SGB
Attleborough,ATL,Hairmyres,HMY,Oxford,OXF,Smethwick Rolfe Street,SMR
Auchinleck,AUK,Hale (Manchester),HAL,Oxford Parkway,OXP,Smithy Bridge,SMB
Audley End,AUD,Halesworth,HAS,Oxshott,OXS,Snaith,SNI
Aughton Park,AUG,Halewood,HED,Oxted,OXT,Snodland,SDA
Aviemore,AVM,Halifax,HFX,Paddock Wood,PDW,Snowdown,SWO
Avoncliff,AVF,Hall Green,HLG,Padgate,PDG,Sole Street,SOR
Avonmouth,AVN,Hall Road,HLR,Paignton,PGN,Solihull,SOL
Axminster,AXM,Halling,HAI,Paisley Canal,PCN,Somerleyton,SYT
Aylesbury,AYS,Hall-i'-th'-Wood,HID,Paisley Gilmour Street,PYG,South Acton,SAT
Aylesbury Vale Parkway,AVP,Haltwhistle,HWH,Paisley St James,PYJ,South Bank,SBK
Aylesford,AYL,Ham Street,HMT,Palmers Green,PAL,South Bermondsey,SBM
Aylesham,AYH,Hamble,HME,Pangbourne,PAN,South Croydon,SCY
Ayr,AYR,Hamilton Central,HNC,Pannal,PNL,South Elmsall,SES
Bache,BAC,Hamilton West,HNW,Pantyffynnon,PTF,South Greenford,SGN
Baglan,BAJ,Hammerton,HMM,Par,PAR,South Gyle,SGL
Bagshot,BAG,Hampden Park (Sussex),HMD,Parbold,PBL,South Hampstead,SOH
Baildon,BLD,Hampstead Heath,HDH,Park Street,PKT,South Kenton,SOK
Baillieston,BIO,Hampton (London),HMP,Parkstone (Dorset),PKS,South Merton,SMO
Balcombe,BAB,Hampton Court,HMC,Parson Street,PSN,South Milford,SOM
Baldock,BDK,Hampton Wick,HMW,Partick,PTK,South Ruislip,SRU
Balham,BAL,Hampton-in-Arden,HIA,Parton,PRN,South Tottenham,STO
Balloch,BHC,Hamstead (Birmingham),HSD,Patchway,PWY,South Wigston,SWS
Balmossie,BSI,Hamworthy,HAM,Patricroft,PAT,South Woodham Ferrers,SOF
Bamber Bridge,BMB,Hanborough,HND,Patterton,PTT,Southall,STL
Bamford,BAM,Handforth,HTH,Peartree,PEA,Southampton Airport Parkway,SOA
Banavie,BNV,Hanwell,HAN,Peckham Rye,PMR,Southampton Central,SOU
Banbury,BAN,Hapton,HPN,Pegswood,PEG,Southbourne,SOB
Bangor (Gwynedd),BNG,Harlech,HRL,Pemberton,PEM,Southbury,SBU
Bank Hall,BAH,Harlesden,HDN,Pembrey & Burry Port,PBY,Southease,SEE
Banstead,BAD,Harling Road,HRD,Pembroke,PMB,Southend Airport,SIA
Barassie,BSS,Harlington (Beds),HLN,Pembroke Dock,PMD,Southend Central,SOC
Barbican,ZBB,Harlow Mill,HWM,Penally,PNA,Southend East,SOE
Bardon Mill,BLL,Harlow Town,HWN,Penarth,PEN,Southend Victoria,SOV
Bare Lane,BAR,Harold Wood,HRO,Pencoed,PCD,Southminster,SMN
Bargeddie,BGI,Harpenden,HPD,Pengam,PGM,Southport,SOP
Bargoed,BGD,Harrietsham,HRM,Penge East,PNE,Southwick,SWK
Barking,BKG,Harringay,HGY,Penge West,PNW,Sowerby Bridge,SOW
Barlaston,BRT,Harringay Green Lanes,HRY,Penhelig,PHG,Spalding,SPA
Barming,BMG,Harrington,HRR,Penistone,PNS,Spean Bridge,SBR
Barmouth,BRM,Harrogate,HGT,Penkridge,PKG,Spital,SPI
Barnehurst,BNH,Harrow & Wealdstone,HRW,Penmaenmawr,PMW,Spondon,SPO
Barnes,BNS,Harrow-on-the-Hill,HOH,Penmere,PNM,Spooner Row,SPN
Barnes Bridge,BNI,Hartford (Cheshire),HTF,Penrhiwceiber,PER,Spring Road,SRI
Barnetby,BTB,Hartlebury,HBY,Penrhyndeudraeth,PRH,Springburn,SPR
Barnham,BAA,Hartlepool,HPL,Penrith (North Lakes),PNR,Springfield,SPF
Barnhill,BNL,Hartwood,HTW,Penryn (Cornwall),PYN,Squires Gate,SQU
Barnsley,BNY,Harwich International,HPQ,Pensarn (Gwynedd),PES,St Albans Abbey,SAA
Barnstaple,BNP,Harwich Town,HWC,Penshurst,PHR,St Albans City,SAC
Barnt Green,BTG,Haslemere,HSL,Pentre-Bach,PTB,St Andrews Road,SAR
Barrhead,BRR,Hassocks,HSK,Pen-y-Bont,PNY,St Annes-on-Sea,SAS
Barrhill,BRL,Hastings,HGS,Penychain,PNC,St Austell,SAU
Barrow Haven,BAV,Hatch End,HTE,Penyffordd,PNF,St Bees,SBS
Barrow-in-Furness,BIF,Hatfield & Stainforth,HFS,Penzance,PNZ,St Budeaux Ferry Road,SBF
Barrow-Upon-Soar,BWS,Hatfield (Herts),HAT,Perranwell,PRW,St Budeaux Victoria Road,SBV
Barry,BRY,Hatfield Peverel,HAP,Perry Barr,PRY,St Columb Road,SCR
Barry Docks,BYD,Hathersage,HSG,Pershore,PSH,St Denys,SDN
Barry Island,BYI,Hattersley,HTY,Perth,PTH,St Erth,SER
